City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,pinheiro machado,-31.5783,-53.3811,77.5,37,64,6.89,BR,1680543253
313,codrington,-38.2667,141.9667,51.3,91,43,4.43,AU,1680543253
314,banda aceh,5.5577,95.3222,78.66,81,94,1.23,ID,1680543253
315,shahrud,36.4182,54.9763,46.67,52,9,4.63,IR,1680543254
316,cairns,-16.9167,145.7667,75.15,97,87,0.0,AU,1680543254
317,najran,17.4924,44.1277,72.25,34,24,11.74,SA,1680543254
318,roald,62.5833,6.1333,45.52,75,75,11.5,NO,1680543254
319,pangnirtung,66.1451,-65.7125,1.4,78,20,9.22,CA,1680543255
320,naryan-mar,67.6713,53.087,5.65,94,7,7.16,RU,1680543255
321,awjilah,29.1081,21.2869,71.31,34,7,15.9,LY,1680543256
322,puerto ayacucho,5.6639,-67.6236,97.09,32,41,2.59,VE,1680543258
323,cabo san lucas,22.8909,-109.9124,82.06,45,75,3.44,MX,1680543014
324,bilibino,68.0546,166.4372,-28.53,99,58,3.83,RU,1680543259
325,puerto leguizamo,-0.1934,-74.7819,89.15,49,48,5.86,CO,1680543259
326,sheridan,44.8333,-106.9173,35.31,57,0,6.91,US,1680543069
327,sfantu gheorghe,45.8667,25.7833,42.93,91,98,9.28,RO,1680543260
328,karwar,14.8,74.1333,74.28,76,22,9.04,IN,1680543260
329,samfya,-11.3649,29.5565,67.01,89,85,5.21,ZM,1680543261
330,bandarbeyla,9.4942,50.8122,81.88,73,3,12.03,SO,1680543262
331,dali,25.7,100.1833,48.04,78,6,6.22,CN,1680543262
332,new richmond,45.123,-92.5366,42.94,81,0,4.61,US,1680543263
333,sistranda,63.7256,8.834,39.16,87,100,24.14,NO,1680543263
334,atambua,-9.1061,124.8925,71.96,89,92,3.09,ID,1680543263
335,shingu,33.7333,135.9833,56.26,78,98,2.84,JP,1680543264
336,praia da vitoria,38.7333,-27.0667,64.65,68,75,6.87,PT,1680543264
337,college,64.8569,-147.8028,17.2,84,40,3.44,US,1680543264
338,mildura,-34.2,142.15,59.54,35,0,6.2,AU,1680543093
339,baiyin,36.5583,104.2081,35.74,85,98,5.14,CN,1680543265
340,matay,28.419,30.7792,75.79,12,0,7.09,EG,1680543265
341,manokwari,-0.8667,134.0833,77.45,84,99,3.36,ID,1680543266
342,ikongo,-21.8833,47.4333,71.53,99,90,0.65,MG,1680543266
343,raga,8.4596,25.678,85.98,14,19,3.44,SS,1680543266
344,queimadas,-10.9783,-39.6264,94.71,25,42,11.07,BR,1680543267
345,samarinda,-0.5,117.15,74.35,98,96,1.32,ID,1680543267
346,walvis bay,-22.9575,14.5053,70.75,64,6,12.66,NA,1680543267
347,lincoln,40.8,-96.667,57.11,33,100,17.27,US,1680542979
348,wellington,-41.2866,174.7756,48.58,94,5,3.44,NZ,1680543000
349,port-cartier,50.0334,-66.8654,29.75,62,44,6.71,CA,1680543268
350,berdsk,54.7551,83.0967,33.4,84,100,6.31,RU,1680543268
351,berlevag,70.8578,29.0864,30.2,69,100,27.63,NO,1680543268
352,qaanaaq,77.484,-69.3632,-7.38,73,0,1.88,GL,1680543269
353,ishigaki,24.3448,124.1572,73.53,68,100,12.66,JP,1680543269
354,killybegs,54.6333,-8.45,53.31,77,100,17.22,IE,1680543271
355,santa rosa,14.3122,121.1114,82.38,86,16,6.93,PH,1680543272
356,hargeysa,9.56,44.065,72.7,69,94,3.85,SO,1680543272
357,dhidhdhoo,6.8833,73.1,82.47,70,75,8.34,MV,1680543272
358,gravdal,68.1214,13.5031,39.09,75,75,11.5,NO,1680543272
359,charlestown,-32.95,151.6667,65.73,90,68,4.72,AU,1680543163
360,tekeli,44.83,78.8239,40.35,43,0,10.33,KZ,1680543273
361,ostroleka,53.0862,21.5757,38.93,69,87,13.49,PL,1680543273
362,yurimaguas,-5.9,-76.0833,84.36,74,40,8.05,PE,1680543273
363,santander,43.4647,-3.8044,56.71,72,0,15.99,ES,1680543274
